Image Name                     PSNR            MSE             MAE            
35.png                         28.5451         90.9011         87.2584        
36.png                         28.5331         91.1525         93.8363        
38.png                         27.9844         103.4290        147.9378       
39.png                         27.8670         106.2626        128.5383       
40.png                         28.1122         100.4302        101.0805       
42.png                         27.9642         103.9096        114.7745       
43.png                         28.0934         100.8655        48.8280        
44.png                         28.4264         93.4198         86.6818        
45.png                         28.3643         94.7650         82.7722        
450.png                        27.8337         107.0801        182.8487       
46.png                         28.3698         94.6446         110.3433       
460.png                        27.9661         103.8647        173.9056       
464.png                        27.8037         107.8227        194.7394       
468.png                        27.9787         103.5655        137.2802       
469.png                        27.8533         106.5982        150.9511       
47.png                         27.8586         106.4681        141.2428       
470.png                        27.9056         105.3222        142.0711       
471.png                        27.9231         104.8981        134.3378       
472.png                        28.0531         101.8055        113.7458       
473.png                        28.0396         102.1212        158.8274       
474.png                        27.9531         104.1755        143.5062       
475.png                        28.2681         96.8881         159.5226       
476.png                        28.0247         102.4734        159.7593       
477.png                        28.0884         100.9812        144.2115       
478.png                        28.2736         96.7649         150.7649       
479.png                        27.8201         107.4167        131.7644       
48.png                         27.9182         105.0172        153.2971       
480.png                        28.0571         101.7119        96.1023        
481.png                        27.9090         105.2402        175.6757       
482.png                        27.7240         109.8190        175.8746       
483.png                        28.2091         98.2140         155.6635       
484.png                        27.6991         110.4523        182.2575       
485.png                        27.5131         115.2832        175.7786       
486.png                        27.8564         106.5216        189.0860       
487.png                        27.9095         105.2272        162.2805       
488.png                        27.5097         115.3734        188.2018       
489.png                        27.7056         110.2849        192.7428       
490.png                        27.8156         107.5273        175.7806       
491.png                        27.8624         106.3759        177.4555       
492.png                        27.5301         114.8340        178.2221       
494.png                        28.3207         95.7224         157.5494       
495.png                        28.2720         96.8012         158.5110       
496.png                        28.5137         91.5604         121.6874       
497.png                        28.6114         89.5237         145.9319       
498.png                        28.3443         95.2032         171.1152       
499.png                        28.2118         98.1526         109.6304       
5.png                          27.7071         110.2483        135.7042       
50.png                         28.1339         99.9282         122.9089       
500.png                        27.9964         103.1432        183.9113       
501.png                        28.0665         101.4926        182.6777       
502.png                        27.7691         108.6861        172.1711       
504.png                        27.9246         104.8637        171.8503       
505.png                        28.1048         100.6006        156.2410       
506.png                        28.2936         96.3199         118.0065       
507.png                        28.0782         101.2182        173.3263       
508.png                        28.3129         95.8934         129.7486       
51.png                         28.1609         99.3089         185.2439       
511.png                        28.2614         97.0377         146.1054       
512.png                        28.8527         84.6867         106.1841       
514.png                        28.0013         103.0268        151.2438       
515.png                        27.9895         103.3060        125.1329       
517.png                        28.2124         98.1382         137.1941       
52.png                         28.4587         92.7273         154.6295       
522.png                        27.8863         105.7907        160.3316       
523.png                        28.5187         91.4549         124.0848       
524.png                        27.7914         108.1295        111.5481       
525.png                        27.8966         105.5411        143.3373       
526.png                        28.1412         99.7618         64.9387        
527.png                        28.0833         101.1005        56.8224        
528.png                        28.1904         98.6361         177.8842       
529.png                        27.9979         103.1077        188.5304       
53.png                         28.0164         102.6702        67.9468        
530.png                        28.0109         102.7989        194.1222       
531.png                        28.1392         99.8071         185.6979       
532.png                        27.9368         104.5679        87.1043        
533.png                        27.9439         104.3985        87.1299        
534.png                        27.9474         104.3133        101.7673       
535.png                        27.8876         105.7603        114.0663       
537.png                        27.8778         105.9980        99.7414        
538.png                        28.3074         96.0155         125.4015       
539.png                        27.9047         105.3442        166.1101       
54.png                         27.9479         104.3003        76.5368        
540.png                        27.7592         108.9337        124.6660       
541.png                        27.6984         110.4688        127.2165       
542.png                        27.7917         108.1202        119.9143       
543.png                        27.8831         105.8688        144.6797       
544.png                        28.0542         101.7803        75.1596        
545.png                        27.9571         104.0813        158.6556       
546.png                        27.7013         110.3952        119.6425       
548.png                        27.7021         110.3750        106.4544       
549.png                        27.9255         104.8408        128.9212       
550.png                        27.8142         107.5612        95.1486        
551.png                        27.8730         106.1161        108.0277       
552.png                        27.7257         109.7761        124.5946       
553.png                        27.7100         110.1740        142.6248       
554.png                        27.8133         107.5846        137.4854       
555.png                        27.7701         108.6598        131.0855       
556.png                        27.7237         109.8272        145.8846       
557.png                        27.7220         109.8710        146.3804       
558.png                        28.0011         103.0320        130.7926       
559.png                        27.8303         107.1640        157.4731       
56.png                         28.2055         98.2947         123.3034       
560.png                        27.8348         107.0534        163.8458       
561.png                        27.7825         108.3497        168.6469       
562.png                        27.8251         107.2938        133.9011       
563.png                        27.7872         108.2322        152.3591       
564.png                        27.8827         105.8791        148.2902       
565.png                        27.7508         109.1452        160.4355       
566.png                        27.8296         107.1820        162.1557       
567.png                        27.8311         107.1451        156.2346       
568.png                        28.1093         100.4965        80.7464        
569.png                        27.8224         107.3589        168.4026       
57.png                         27.8219         107.3727        102.9235       
570.png                        27.7604         108.9042        84.0280        
571.png                        27.6871         110.7577        91.1112        
572.png                        28.0993         100.7280        101.4876       
573.png                        27.7823         108.3562        56.5144        
574.png                        28.2338         97.6552         100.3979       
575.png                        27.9265         104.8156        136.1881       
576.png                        27.6892         110.7036        136.7246       
578.png                        28.3142         95.8661         168.5814       
579.png                        28.0833         101.1000        128.3158       
58.png                         27.8041         107.8126        97.6100        
580.png                        28.3738         94.5591         148.3160       
583.png                        28.2376         97.5705         149.8339       
585.png                        27.8862         105.7935        120.6402       
586.png                        27.8570         106.5085        130.2523       
587.png                        27.8567         106.5144        130.4013       
588.png                        27.8537         106.5893        129.9016       
59.png                         27.7116         110.1331        101.7663       
590.png                        27.7742         108.5564        123.0053       
591.png                        27.7690         108.6866        122.6928       
592.png                        27.8550         106.5567        160.2769       
593.png                        27.8384         106.9642        160.1452       
594.png                        27.8104         107.6553        144.7107       
595.png                        27.8566         106.5180        145.0139       
596.png                        27.6916         110.6429        150.3492       
597.png                        27.7061         110.2727        149.5461       
598.png                        27.5616         114.0052        192.5997       
6.png                          28.0304         102.3387        120.5609       
60.png                         27.6079         112.7949        105.8156       
600.png                        27.9753         103.6449        157.3323       
601.png                        27.9341         104.6327        158.1986       
604.png                        27.8874         105.7655        145.6771       
605.png                        27.8073         107.7325        152.7577       
606.png                        27.8637         106.3422        119.9338       
607.png                        27.8505         106.6682        119.6429       
608.png                        28.2111         98.1681         115.8444       
609.png                        28.2076         98.2465         116.0189       
61.png                         27.8058         107.7698        116.4713       
610.png                        27.8109         107.6439        201.2315       
611.png                        28.0133         102.7415        196.3843       
612.png                        27.8319         107.1252        137.9541       
613.png                        27.7472         109.2344        130.7869       
614.png                        28.2641         96.9771         156.2137       
615.png                        28.2806         96.6101         155.2597       
616.png                        27.9697         103.7792        145.5699       
617.png                        27.9435         104.4077        154.1216       
62.png                         27.7833         108.3298        124.8724       
620.png                        28.7123         87.4683         76.0774        
621.png                        28.5371         91.0689         175.3286       
622.png                        27.8612         106.4048        132.9583       
623.png                        27.8078         107.7216        122.5381       
624.png                        28.2143         98.0953         104.0253       
625.png                        28.2486         97.3233         104.1890       
626.png                        28.2735         96.7680         104.4521       
627.png                        28.1103         100.4743        110.1437       
628.png                        28.2565         97.1477         149.8234       
629.png                        28.0044         102.9536        128.5756       
63.png                         28.0847         101.0666        94.1401        
630.png                        27.9538         104.1610        130.0053       
633.png                        29.0112         81.6505         109.0270       
634.png                        29.0343         81.2169         107.0307       
637.png                        28.0596         101.6524        113.9083       
638.png                        28.0878         100.9961        150.0482       
639.png                        28.1030         100.6418        65.2319        
64.png                         28.0021         103.0081        131.6265       
640.png                        28.0623         101.5895        59.0871        
641.png                        28.2562         97.1535         53.7128        
642.png                        28.3192         95.7537         54.5496        
643.png                        28.2666         96.9226         51.2299        
644.png                        28.2603         97.0623         50.9380        
645.png                        27.7813         108.3815        89.3649        
646.png                        28.0131         102.7468        108.6648       
647.png                        27.7677         108.7203        134.4750       
648.png                        27.8268         107.2513        134.2558       
649.png                        27.7416         109.3758        135.3299       
650.png                        28.0954         100.8180        152.7688       
651.png                        27.9194         104.9882        176.6514       
653.png                        27.8764         106.0334        178.0138       
654.png                        27.8895         105.7123        168.2470       
655.png                        28.1724         99.0477         145.7869       
658.png                        27.9094         105.2306        146.3561       
659.png                        27.9221         104.9240        146.5641       
660.png                        27.9732         103.6954        133.1486       
661.png                        27.9822         103.4817        133.0875       
662.png                        27.8359         107.0253        165.6034       
663.png                        27.7765         108.4993        184.2500       
664.png                        27.8056         107.7753        125.6206       
666.png                        28.1321         99.9705         158.4823       
667.png                        28.1285         100.0523        159.0972       
668.png                        27.8210         107.3947        133.0125       
67.png                         27.9154         105.0839        86.9219        
670.png                        27.8648         106.3175        149.5502       
671.png                        27.8724         106.1295        159.7187       
674.png                        27.8694         106.2031        148.7697       
675.png                        27.8821         105.8931        149.4735       
676.png                        27.9571         104.0798        159.6750       
677.png                        27.9947         103.1838        155.3654       
678.png                        27.8516         106.6390        122.4240       
679.png                        27.8158         107.5229        121.5465       
68.png                         27.7996         107.9249        88.3192        
680.png                        27.8852         105.8190        137.3370       
681.png                        27.8630         106.3609        138.0174       
682.png                        27.7183         109.9648        162.5709       
683.png                        27.6367         112.0500        156.2216       
684.png                        27.9025         105.3984        149.9154       
685.png                        27.8960         105.5558        149.5405       
686.png                        27.9359         104.5901        134.8691       
687.png                        27.9367         104.5704        134.1804       
688.png                        27.8051         107.7883        150.2218       
689.png                        27.7806         108.3976        150.0011       
69.png                         27.9263         104.8224        89.2842        
690.png                        27.9269         104.8065        155.9966       
691.png                        27.9163         105.0641        157.0328       
692.png                        27.9695         103.7842        142.8796       
693.png                        27.9407         104.4748        142.7789       
694.png                        28.0080         102.8678        130.9807       
695.png                        28.0013         103.0267        130.8763       
696.png                        27.8839         105.8495        184.2752       
697.png                        27.8843         105.8389        183.6586       
698.png                        27.7902         108.1580        152.5361       
699.png                        27.8049         107.7929        151.9881       
70.png                         27.9306         104.7167        93.1042        
700.png                        27.7530         109.0883        147.6238       
701.png                        27.7401         109.4145        147.3848       
702.png                        28.0866         101.0241        125.9906       
703.png                        28.0887         100.9741        125.8846       
704.png                        28.0860         101.0372        125.7499       
708.png                        27.8201         107.4166        165.1559       
709.png                        27.8098         107.6708        164.4461       
710.png                        28.0207         102.5688        121.5366       
711.png                        28.0342         102.2490        121.5229       
712.png                        27.9117         105.1752        107.6312       
713.png                        27.8992         105.4777        108.6990       
714.png                        27.8212         107.3890        160.1631       
715.png                        27.8161         107.5165        160.2517       
716.png                        27.9471         104.3199        128.5881       
717.png                        28.0611         101.6188        135.0601       
718.png                        28.1483         99.5969         144.7704       
719.png                        28.1673         99.1643         144.6684       
720.png                        27.9096         105.2259        155.4972       
721.png                        27.9107         105.1981        155.5677       
722.png                        28.0115         102.7855        148.9547       
723.png                        27.9928         103.2287        148.7749       
724.png                        28.0498         101.8834        148.8927       
725.png                        28.0204         102.5751        149.1487       
726.png                        28.0320         102.3001        140.7300       
727.png                        28.0264         102.4338        140.2403       
728.png                        28.0344         102.2436        139.2792       
729.png                        27.8077         107.7232        140.5713       
73.png                         28.0878         100.9950        136.6526       
730.png                        27.8435         106.8404        140.7056       
731.png                        27.8242         107.3153        155.9775       
732.png                        27.8222         107.3642        155.7769       
733.png                        27.7492         109.1844        134.6011       
734.png                        27.7280         109.7192        134.1806       
735.png                        27.6824         110.8776        168.5892       
736.png                        27.6820         110.8859        169.6213       
737.png                        27.7419         109.3686        132.0387       
738.png                        27.7698         108.6673        131.8026       
739.png                        27.7853         108.2812        160.0784       
74.png                         28.1528         99.4939         142.5211       
740.png                        27.8224         107.3605        160.1994       
741.png                        27.7922         108.1076        138.8245       
743.png                        27.8686         106.2223        127.0237       
744.png                        27.7476         109.2239        129.4862       
745.png                        27.6791         110.9605        174.6800       
746.png                        27.6693         111.2124        175.3724       
747.png                        27.8057         107.7719        142.2825       
75.png                         28.0717         101.3708        67.0497        
750.png                        27.7369         109.4952        139.2241       
751.png                        28.2515         97.2584         157.2123       
752.png                        28.1714         99.0702         151.1096       
757.png                        27.8123         107.6106        141.5019       
758.png                        27.8241         107.3173        139.2608       
759.png                        27.7388         109.4463        165.9507       
76.png                         27.9360         104.5883        120.9321       
760.png                        27.7673         108.7291        165.7897       
761.png                        27.7879         108.2160        181.9127       
762.png                        27.7694         108.6776        182.5208       
763.png                        28.0215         102.5483        136.7993       
764.png                        28.0232         102.5076        137.5996       
765.png                        27.8111         107.6391        165.9639       
766.png                        27.7926         108.0974        165.3653       
769.png                        28.4370         93.1920         157.1505       
77.png                         27.9163         105.0625        94.5803        
770.png                        28.3906         94.1937         157.4360       
771.png                        28.0111         102.7948        150.5655       
772.png                        28.0477         101.9311        151.3590       
773.png                        27.7320         109.6176        148.8243       
774.png                        27.7226         109.8561        149.0690       
775.png                        27.8951         105.5762        175.5809       
776.png                        27.9082         105.2587        177.3053       
777.png                        27.8140         107.5666        176.8985       
779.png                        28.1084         100.5179        152.9659       
78.png                         28.0240         102.4886        150.3489       
781.png                        27.8773         106.0117        152.5332       
782.png                        27.8799         105.9484        152.3270       
783.png                        27.8782         105.9879        152.6575       
784.png                        27.9487         104.2824        153.5064       
785.png                        27.9528         104.1845        153.4987       
786.png                        27.9626         103.9481        153.3012       
787.png                        27.9976         103.1157        158.4727       
788.png                        27.9897         103.3017        158.0958       
789.png                        27.9820         103.4856        158.6105       
80.png                         27.8364         107.0144        89.0837        
81.png                         27.8734         106.1070        103.8350       
82.png                         27.9015         105.4206        120.0709       
83.png                         27.6979         110.4805        108.7792       
84.png                         27.7436         109.3254        110.9618       
86.png                         27.9118         105.1720        155.0197       
87.png                         28.2205         97.9557         162.1709       
88.png                         28.0541         101.7811        126.1139       
89.png                         27.8883         105.7418        166.0343       
9.png                          27.7731         108.5842        117.0002       
91.png                         27.7037         110.3341        108.8842       
92.png                         27.7927         108.0952        97.5711        
93.png                         27.7444         109.3041        97.0226        
94.png                         27.7753         108.5300        89.7764        
95.png                         28.0936         100.8608        119.3640       
96.png                         28.1000         100.7127        101.6348       
97.png                         28.0446         102.0052        167.0368       
98.png                         27.9140         105.1195        179.5379       
99.png                         27.4100         118.0543        191.3316       
